seqnames,start,end,width,strand,readthrough,tss_anti.ind,tss_anti.gene_id,tss_anti.gene_name,gene_body_anti.ind,gene_body_anti.gene_id,gene_body_anti.gene_name,tss.ind,tss.gene_id,tss.gene_name,antisense.ind,antisense.gene_id,antisense.gene_name,anti_unique_id,nearest.tss.dist,antisense.type,noncode_id,lincpedia_id,Fantom_distance,Fantom_ID,Fantom_set,Fantom_biotype,Fantom_type,Fantom_trait,max.cor,cluster,Rutkowski_FoursU_mock_GSM1444171_GSM1444185 ,Rutkowski_FoursU_1hpi_GSM1444172_GSM1444186 ,Rutkowski_FoursU_2hpi_GSM1444173_GSM1444187 ,Rutkowski_FoursU_3hpi_GSM1444174_GSM1444188 ,Rutkowski_FoursU_4hpi_GSM1444175_GSM1444189 ,Rutkowski_FoursU_5hpi_GSM1444176_GSM1444190 ,Rutkowski_FoursU_6hpi_GSM1444177_GSM1444191 ,Rutkowski_FoursU_7hpi_GSM1444178_GSM1444192 ,Rutkowski_FoursU_8hpi_GSM1444179_GSM1444193 ,Rutkowski_RNAseq_mock_GSM1444166_GSM1444180 ,Rutkowski_RNAseq_2hpi_GSM1444167_GSM1444181 ,Rutkowski_RNAseq_4hpi_GSM1444168_GSM1444182 ,Rutkowski_RNAseq_6hpi_GSM1444169_GSM1444183 ,Rutkowski_RNAseq_8hpi_GSM1444170_GSM1444184 ,Breuer_VZV_mock_ERS317032_ERS317034,Breuer_VZV_120hpi_ERS317041_ERS317029,Tirosh_CMV_mock_GSM1712278,Tirosh_CMV_5hpi_GSM1712281,Tirosh_CMV_12hpi_GSM1712282,Tirosh_CMV_24hpi_GSM1712283,Tirosh_CMV_72hpi_GSM1712284,Schlackow_tss.Total.mNET_mock_GSM2357382,Schlackow_tss.TotalsiEX3.mNET_mock_GSM2241322_GSM2357383,Schlackow_tss.TotalsiLuc.mNET_mock_GSM2241321_GSM2357384,WI38-polyA-stranded_0h,WI38-polyA-stranded_4h,WI38-polyA-stranded_9h,WI38-polyA-stranded_15h,RZ-HeLa_EYFP,RZ-HeLa_EYFP-ICP4,polyA-HeLa_wtHeLa-0h,polyA-HeLa_wtHeLa-2h,polyA-HeLa_wtHeLa-4h,polyA-HeLa_wtHeLa-6h,polyA-HeLa_mut56D2-0h,polyA-HeLa_mut56D2-2h,polyA-HeLa_mut56D2-4h,polyA-HeLa_mut56D2-6h,polyA-HeLa_mut59F8-0h,polyA-HeLa_mut59F8-2h,polyA-HeLa_mut59F8-4h,polyA-HeLa_mut59F8-6h
chr1,3420963,3455048,34086,+,FALSE,FALSE,None,None,TRUE,ENSG00000162591,MEGF6,FALSE,None,None,FALSE,None,None,Anti000029,-7681,Divergent,None,None,16240,ENSG00000130762.10,lv2_permissive,nonCoding,coding_mRNA,__na,-0.261904762,6,1.13,1.22,2.53,3.845,4.89,4.765,4.35,4.175,3.63,0.585,2.345,4.295,4.135,3.33,1.675,2.065,0.73,0.45,0,1.36,0,6.25,6.41,6.29,2.2,2.225,2.055,0.365,1.87,0.37,0.355,0,0.45,0.58,0.17,0.435,0.5,1.075,1.285,0.33,1.73,1.615
chr1,6656007,6658534,2528,+,FALSE,FALSE,None,None,TRUE,ENSG00000162413,KLHL21,FALSE,None,None,FALSE,None,None,Anti000030,3868,Convergent,NONHSAT148306.1,None,7149,ENSG00000204859.7,lv2_permissive,coding,coding_mRNA,__na,-0.428571429,3,0,0,2.275,4.805,5.98,6.67,6.565,7.29,7.655,1.23,1.24,7.195,7.715,9.35,5.155,5.805,0,0,2.28,0,2.1,9.4,8.355,8.44,5.075,6.565,4.885,1.225,0,0,0,0,1.145,1.66,0,1.115,0,0,0,0,1.58,2.39
chr1,8938168,8945451,7284,+,FALSE,TRUE,ENSG00000074800:ENSG00000236269,ENO1:ENO1-IT1,TRUE,ENSG00000074800,ENO1,FALSE,None,None,TRUE,ENSG00000230679,ENO1-AS1,Anti000035,157,Convergent,None,None,725,ENSG00000230679.1,lv4_stringent,nonCoding,lncRNA_divergent,__na,0.738095238,1,4.495,4.245,4.92,5.365,4.585,4.485,3.66,3.455,3.255,3.675,4.345,5,3.92,1.84,9.375,9.99,4.39,0,3.7,4.44,4.64,13.6,14.07,13.74,3.205,3.215,2.445,2.93,6.24,6.45,5.01,4.935,4.755,5.345,5.06,4.935,4,4.575,5.305,4.73,4.82,4.835
chr1,11968223,11975650,7428,+,FALSE,FALSE,None,None,FALSE,None,None,TRUE,ENSG00000199347,RNU5E-1,FALSE,None,None,Anti000045,18256,None,None,None,16,ENSG00000199347.1,lv4_stringent,nonCoding,small_RNA,GWAS_DOID_1470_major_depressive_disorder[0.00000436],NA,1,7.815,7.68,7.845,7.065,7.08,7.325,7.275,8.135,9.02,11.71,11.295,11.745,10.97,12,1.19,3.225,9.27,7.82,8.74,9.22,10.34,6.25,0,5.31,2.18,2.29,2.405,2.555,11.71,11.26,0.6,1.87,0.61,2.02,1.15,1.5,0.915,2.035,2.525,2.41,1.165,2.73
chr1,13433597,13436877,3281,+,FALSE,FALSE,None,None,FALSE,None,None,FALSE,None,None,FALSE,None,None,Anti000051,19058,None,None,None,310969,CATG00000023473.1,lv1_raw,nonCoding,NA,NA,NA,1,4.16,2.43,3.64,3.595,4.08,2.975,4.785,4.055,5.41,2.17,3.22,3.005,1.745,1.05,0,0,3.49,3.64,2.79,4.1,1.82,0,2.79,0,0.995,2.69,1.07,1.075,3.35,0,3.475,3.325,3.005,3.44,3.22,4.95,4.505,5,4.55,3.82,5.205,4.645
chr1,16161075,16174172,13098,+,FALSE,FALSE,None,None,FALSE,None,None,FALSE,None,None,FALSE,None,None,Anti000055,-26880,None,None,None,74,CATG00000027868.1,lv4_stringent,nonCoding,lncRNA_divergent,GWAS_HP_0001644_Dilated_cardiomyopathy[1.00E-09],NA,1,4.33,4.52,4.705,4.905,4.575,4.625,4.02,4.57,4.705,4.1,4.62,5.545,4.985,4.955,3.145,5.02,6.33,4.7,5.16,5.49,3.7,13.04,14.205,13.72,2.22,2.475,0.715,0.895,3.35,3.8,1.865,1.41,2.13,2.29,1.25,1.47,2.515,0.905,2.445,1.52,1.86,2.655
chr1,16533282,16546404,13123,+,FALSE,TRUE,ENSG00000142632,ARHGEF19,TRUE,ENSG00000142632,ARHGEF19,FALSE,None,None,FALSE,None,None,Anti000057,194,Convergent,None,None,28,CATG00000029208.1,lv4_stringent,coding,coding_mRNA,GWAS_DOID_1240_leukemia[3.20E-12],0,6,1.88,2.675,3.145,5,4.965,4.71,4.355,3.98,4.41,0.455,1.48,4.6,3.6,1.395,4.165,5.065,1.83,0.97,0.8,1.23,0.71,12.36,13.83,12.8,2.435,2.28,2.105,0.445,0,0.81,0,0,1.065,0.45,0,0,0.395,0,0.4,0,0.405,0.43
chr1,16971284,16972068,785,+,FALSE,TRUE,ENSG00000215908,CROCCP2,FALSE,None,None,TRUE,ENSG00000186301,MST1P2,FALSE,None,None,Anti000062,-105,Divergent,None,None,29,ENSG00000186301.7,lv4_stringent,coding,pseudogene,__na,0.904761905,7,6.815,7.05,7.145,7.19,6.415,5.735,5.095,1.78,2.27,6.055,7.35,7.935,5.145,1.94,5.12,4.145,9.32,8.4,8.22,9.61,8.8,12.59,13.69,13.2,3.745,3.79,1.96,0,3.79,5.69,4.19,4.705,5.275,4.425,5.355,5.405,5.63,1.95,7.245,4.73,5,4.82
chr1,16993760,16997208,3449,+,FALSE,TRUE,ENSG00000207513,RNU1-3,FALSE,None,None,FALSE,None,None,FALSE,None,None,Anti000063,18789,None,None,None,81,CATG00000032034.1,lv2_permissive,nonCoding,NA,NA,0.69047619,4,5.825,5.995,6.11,6.575,5.26,5.095,4.24,5.07,5.28,5.4,6.425,6.25,5.255,4.125,0,0,5.63,2.21,5.12,6.33,9.13,6.25,6.7,5.31,0,0,2.485,2.09,5.74,5.95,4.895,5.465,4.29,4.015,3.82,4.495,0.955,1.44,4.695,4.425,4.37,3.71
chr1,17051882,17061792,9911,+,FALSE,FALSE,None,None,FALSE,None,None,FALSE,None,None,FALSE,None,None,Anti000064,-5229,Divergent,None,None,1891,CATG00000032763.1,lv3_robust,nonCoding,lncRNA_intergenic,__na,NA,5,1.975,0.815,2.425,2.105,2.155,2.415,2.86,4.75,5.865,2.765,3.005,2.98,2.71,4.96,0,2.485,4.07,3.1,7.49,9.02,9.64,0,0,0,0,0,0,0,6.51,6.33,0,0,0,1.625,0.465,0,0.485,2.295,0,0,0.5,1.57
chr1,17764548,17773818,9271,+,FALSE,TRUE,ENSG00000179051,RCC2,TRUE,ENSG00000179051,RCC2,FALSE,None,None,FALSE,None,None,Anti000066,508,Convergent,NONHSAT148453.1,None,37,CATG00000034711.1,lv3_robust,nonCoding,uncertain_coding,GWAS_DOID_2513_basal_cell_carcinoma[7.00E-14],0.166666667,2,4.455,4.105,4.7,5.505,5.055,5.115,4.505,4.93,4.515,3.415,4.695,5.67,4.755,4.295,7.48,6.9,4.72,1.24,2.05,2.27,3.03,11.44,12.245,12.02,2.645,2.255,2.72,1.465,4.36,4.19,2.49,0.825,2.265,2.395,1.565,0,1.61,0.865,2.615,1.35,1.65,1.63
chr1,19233363,19283746,50384,+,FALSE,FALSE,None,None,TRUE,ENSG00000169991:ENSG00000255275,IFFO2:RP13-279N23.2,FALSE,None,None,FALSE,None,None,Anti000067,-4087,Divergent,None,None,860,CATG00000038794.1,lv3_robust,coding,coding_mRNA,__na,NA,3,1.055,1.37,1.45,3.05,4.065,4.56,4.505,5.075,5.8,1.82,2.39,4.54,4.385,3.605,7.535,6.85,0.29,0.32,0.47,1.04,0.22,6.83,6.7,0,4.42,5.885,8.24,7.53,0.48,1.47,0,0.13,0,0.61,0.31,0.445,0,0.26,0.125,0.335,0.13,0.14
chr1,19387484,19454040,66557,+,FALSE,FALSE,None,None,FALSE,None,None,FALSE,None,None,FALSE,None,None,Anti000068,16836,None,None,None,26498,CATG00000039260.1,lv2_permissive,nonCoding,NA,NA,NA,5,0.61,0.275,0.43,0.77,0.94,1.76,2.215,3.38,4.62,0.75,0.735,0.965,1.305,2.325,8.02,7.59,0.22,0.25,0,0.34,0.17,0,0,0,7.655,8.005,7.3,5.585,0.68,0.92,0.28,0.1,0.435,0.625,0.185,0.35,0.19,0.65,0.46,0.265,0.285,1.14
chr1,19536827,19572052,35226,+,FALSE,TRUE,ENSG00000127481,UBR4,FALSE,None,None,FALSE,None,None,TRUE,ENSG00000230424,RP1-43E13.2,Anti000069,-56,Divergent,NONHSAT001280.2,lnc-MRTO4-1,9,ENSG00000230424.1,lv4_stringent,nonCoding,lncRNA_divergent,GWAS_DOID_10652_Alzheimer_s_disease[1.00E-07],0.595238095,1,5.6,6.115,5.34,5.54,5.595,5.45,5.095,5.225,5.485,4.575,5.66,5.475,4.66,4.345,7.935,7.35,6.79,6.25,5.77,5.22,4.73,9.04,9.605,9.18,8.15,8.21,7.82,6.205,4.96,5,5.165,4.51,4.605,4.675,4.325,4.46,4.245,3.815,4.77,4.77,5,4.4
chr1,19812284,19825713,13430,+,FALSE,TRUE,ENSG00000077549,CAPZB,FALSE,None,None,FALSE,None,None,FALSE,None,None,Anti000072,-217,Divergent,None,None,48,CATG00000040343.1,lv4_stringent,nonCoding,lncRNA_divergent,GWAS_DOID_7166_thyroiditis[3.00E-07],0.952380952,8,4.965,5.12,4.605,4.73,3.7,3.67,3.1,2.79,2.275,3.525,5.045,4.57,3.06,2,0.675,1.18,5.26,2.25,1.96,2.79,2.24,8.23,8.98,8.08,0,0.405,0.435,0.44,1.32,2.24,0.39,0.395,0.4,0,0,0,0,0.69,0.425,1.245,0,0
chr1,21113982,21117093,3112,+,FALSE,TRUE,ENSG00000127483,HP1BP3,FALSE,None,None,FALSE,None,None,FALSE,None,None,Anti000074,-165,Divergent,NONHSAT153462.1,None,48,CATG00000045338.1,lv3_robust,nonCoding,lncRNA_divergent,__na,0.452380952,2,4.185,4.905,5.07,5.2,4.2,5.11,4.15,4.495,4.88,3.38,5.16,5.59,5.21,5.115,1.06,3.24,0,0,3.37,3.25,0,9.55,10.23,9.44,0,0,0,1.52,2.08,2.07,0,0,2.725,1.525,0,0,0,2.58,1.49,0,1.445,1.08
chr1,21351175,21353498,2324,+,FALSE,FALSE,None,None,TRUE,ENSG00000075151,EIF4G3,FALSE,None,None,FALSE,None,None,Anti000075,-20747,Internal,None,None,119427,CATG00000045733.1,lv1_raw,nonCoding,NA,NA,-0.585540044,9,0,0,0,0,3.045,3.425,2.995,2.92,4.43,0,0,1.28,0,1.235,1.655,1.58,2.54,2.68,2.37,3.11,0,0,2.79,0,0,0,4.14,1.71,0,3.79,1.17,1.895,0,3.43,0,1.165,1.175,5.83,0,0,1.205,3.775
chr1,22109777,22138757,28981,+,FALSE,TRUE,ENSG00000090686,USP48,TRUE,ENSG00000090686,USP48,FALSE,None,None,FALSE,None,None,Anti000076,-57,Divergent,None,None,19,CATG00000049547.1,lv4_stringent,nonCoding,lncRNA_divergent,__na,-0.928571429,5,1.475,1.36,0.935,1.56,2.355,2.69,2.685,3.79,4.905,1.25,1.86,2.705,2.96,3.855,0,1.365,1.73,1.66,2.12,2.22,0.89,10.84,11.885,11.4,0.21,0.215,0.47,0.235,1.03,2.15,0,0.375,0.21,0,0.195,0.56,0.365,0.23,0.865,0,0.21,0.225
chr1,23494893,23500054,5162,+,FALSE,TRUE,ENSG00000169641,LUZP1,TRUE,ENSG00000169641,LUZP1,FALSE,None,None,FALSE,None,None,Anti000080,416,Convergent,None,None,42319,CATG00000054957.1,lv2_permissive,nonCoding,NA,NA,-0.428571429,3,0.795,0,1.885,4.63,4.8,4.29,4.055,4.455,5.285,0,2.67,3.46,2.885,3.03,3.865,4.495,0,2.55,0,0,0,10.55,11.915,11.13,0.765,1.15,0.83,2.045,0,0,0.75,0,0,0.84,0,0,1.51,1.195,0,0,0,1.18
chr1,23669838,23673746,3909,+,FALSE,TRUE,ENSG00000125944,HNRNPR,TRUE,ENSG00000125944,HNRNPR,FALSE,None,None,FALSE,None,None,Anti000081,916,Convergent,None,None,457,CATG00000055384.1,lv2_permissive,nonCoding,lncRNA_divergent,__na,0.714285714,2,4.055,4.955,5.205,5.495,4.83,4.875,3.34,3.67,3.215,3.755,5.21,4.19,4.235,4.4,4.975,4.625,3.63,2.89,4.55,4.82,4.33,12.13,12.225,11.94,1.54,1.84,0.97,0,2.62,3.48,0,0,1.815,0.985,2.11,0.885,0.89,0.965,1.85,0.91,0.915,1.905
chr1,24278499,24280898,2400,+,FALSE,FALSE,None,None,TRUE,ENSG00000188822,CNR2,FALSE,None,None,FALSE,None,None,Anti000088,-2625,Divergent,None,None,318,CATG00000059422.1,lv1_raw,nonCoding,NA,NA,0.838338383,6,2.81,3.275,3.215,4.815,5.6,5.87,4.815,6.175,6.305,1.26,5.5,7.66,8.09,9.32,0,0,0,2.64,2.33,0,5.15,0,0,6.29,0,0,0,0,4.15,3.75,0,1.18,2.78,1.26,0,1.15,0,1.24,0,0,0,0
chr1,25559116,25574327,15212,+,FALSE,TRUE,ENSG00000117614,SYF2,FALSE,None,None,FALSE,None,None,FALSE,None,None,Anti000093,-122,Divergent,NONHSAT001690.2,lnc-RHD-4,16,CATG00000065255.1,lv4_stringent,coding,uncertain_coding,GWAS_HP_0001877_Abnormality_of_erythrocytes[2.00E-09],-0.452380952,8,5.965,6.16,6.1,5.72,3.995,3.895,3.725,3.57,3.72,5.225,6.465,4.59,3.73,3.65,7.35,7.075,7.02,3.65,4.89,5.48,4.58,9.81,9.065,10.02,7.19,7.47,7.745,7.39,3.61,3.6,3.58,3.37,3.14,3.74,3.84,3.73,3.51,3.82,3.78,3.285,3.475,3.67
chr1,26947172,26954356,7185,+,FALSE,FALSE,None,None,FALSE,None,None,FALSE,None,None,FALSE,None,None,Anti000103,19932,None,NONHSAT153520.1,None,12,CATG00000073335.1,lv4_stringent,coding,uncertain_coding,GWAS_DOID_332_amyotrophic_lateral_sclerosis[1.00E-06],NA,6,4.205,4.715,4.915,5.565,5.52,5.85,5.595,6.22,6.925,2.305,4.06,5.51,5.94,6.14,0,1.14,4.18,2.64,0,1.79,1.11,13.45,14.51,13.73,0,0,1.35,2.685,1.92,1.25,1.545,1.97,2.825,3.32,0,1.205,2.515,3.33,0.615,0.625,3.3,2.94
chr1,27217082,27226728,9647,+,FALSE,TRUE,ENSG00000142751,GPN2,TRUE,ENSG00000198746,GPATCH3,FALSE,None,None,FALSE,None,None,Anti000106,-293,Divergent,None,None,210,CATG00000074844.1,lv3_robust,nonCoding,lncRNA_divergent,GWAS_DOID_1461_cholesterol_embolism[1.00E-15],-0.738095238,5,1.33,0.505,1.665,2.55,2.775,2.96,2.685,3.48,5.02,1.09,2.1,3.29,2.445,3.62,5.61,6.215,0,1.2,1,2.22,0,10.27,11.05,10.82,5.935,5.925,6.005,5.28,1.62,1.62,0,0,0,0,0.475,0,0.495,0,0,0.51,0,0
chr1,27692215,27698566,6352,+,FALSE,FALSE,None,None,TRUE,ENSG00000142733,MAP3K6,FALSE,None,None,FALSE,None,None,Anti000108,1133,Convergent,None,None,531,CATG00000077368.1,lv4_stringent,nonCoding,lncRNA_divergent,__na,0.857142857,2,4.425,3.97,5.105,5.59,5.495,4.46,3.88,3.81,3.015,3.91,5.275,4.655,3.02,1.625,4.3,4.995,5.92,2.31,2.02,4.15,0,13.04,13.76,13.54,3.5,2.61,2.59,1.47,3.39,1.36,0.66,0.68,0.675,1.835,0.635,0.655,0.66,0.725,0.67,0.68,1.355,0
chr1,31191603,31206880,15278,+,FALSE,TRUE,ENSG00000162510,MATN1,TRUE,ENSG00000162510,MATN1,FALSE,None,None,TRUE,ENSG00000186056,MATN1-AS1,Anti000124,494,Convergent,NONHSAT148633.1,lnc-ZCCHC17-4,12,ENSG00000186056.5,lv4_stringent,coding,lncRNA_divergent,__na,-0.452380952,2,5.78,5.68,5.97,6.795,6.34,6.39,5.695,5.23,4.745,4.385,5.95,6.8,5.77,4.235,4.345,3.98,7.38,7.43,5.34,5.57,4.32,7.56,8.1,6.87,2.44,1.295,2.29,0.4,5.19,5.2,3.91,4.56,3.94,2.8,4.28,4.605,4.025,3.495,4.84,4.625,5.03,4.145
chr1,31628354,31635062,6709,+,FALSE,FALSE,None,None,FALSE,None,None,FALSE,None,None,FALSE,None,None,Anti000125,26168,None,NONHSAT148639.1,None,413,CATG00000092619.1,lv4_stringent,nonCoding,lncRNA_intergenic,__na,NA,4,4.665,4.69,4.675,4.71,3.445,3.495,3.185,3.35,3.44,3.565,4.03,4.02,3.2,2.475,0.71,0.625,4.6,2.25,3.48,2.93,3.74,7.56,8.75,7.86,0.985,0,0,0,2,2.79,0.635,1.64,0.655,0.715,0.61,0.965,1.51,0.7,1.335,2.21,0.65,1.725
